DATE,RUSCPIALLMINMEI
2020-01-01,120.727145796937
2020-02-01,121.125545378067
2020-03-01,121.791735877646
2020-04-01,122.80260728543
2020-05-01,123.134174325101
2020-06-01,123.405069508616
2020-07-01,123.836987251897
2020-08-01,123.787452456996
2020-09-01,123.700801240276
2020-10-01,124.232714685609
2020-11-01,125.114766959877
2020-12-01,126.153219525644
2021-01-01,126.998446096466
2021-02-01,127.989033976018
2021-03-01,128.83376160026
2021-04-01,129.580997417541
2021-05-01,130.539896798431
2021-06-01,131.44062208634
2021-07-01,131.848088014808
2021-08-01,132.072229764433
2021-09-01,132.86466314302
2021-10-01,134.339460903907
2021-11-01,135.629119728585
2021-12-01,136.741278510359
2022-01-01,138.095017167612
2022-02-01,139.710728868473
2022-03-01,150.346996756143
