DATE,PNRGINDEXM
2020-01-01,126.142073238145
2020-02-01,109.289359074945
2020-03-01,72.9941675035191
2020-04-01,55.8905124412157
2020-05-01,68.0114992942952
2020-06-01,82.3975635948022
2020-07-01,86.4165473565575
2020-08-01,93.2271857476264
2020-09-01,91.2975553598975
2020-10-01,95.4028571823368
2020-11-01,100.89541152644
2020-12-01,118.493979515052
2021-01-01,138.446272490708
2021-02-01,137.664908345644
2021-03-01,142.136548338262
2021-04-01,143.193714211993
2021-05-01,154.557474298451
2021-06-01,170.895141089492
2021-07-01,181.349916097512
2021-08-01,183.806514750323
2021-09-01,212.879064204438
2021-10-01,256.460754221011
2021-11-01,235.683331646882
2021-12-01,239.991032497251
2022-01-01,241.377378261931
2022-02-01,260.048362621765
2022-03-01,331.78375933108
2022-04-01,300.53317790586
2022-05-01,306.674979216909
2022-06-01,328.123480404175
2022-07-01,343.809997418561
2022-08-01,376.412082569145
2022-09-01,330.149585913898
