DATE,PSUNOUSDM
2020-01-01,1000.21585144928
2020-02-01,913.684062500001
2020-03-01,846.996875
2020-04-01,878.245833333334
2020-05-01,900.053174603176
2020-06-01,963.941666666668
2020-07-01,974.110778985508
2020-08-01,1033.4314484127
2020-09-01,1188.55208333334
2020-10-01,1198.37708333333
2020-11-01,1348.07837301588
2020-12-01,1432.38532608696
2021-01-01,1551.07638888889
2021-02-01,1653.5475
2021-03-01,1972.23822463768
2021-04-01,1919.69583333334
2021-05-01,1936.48670634921
2021-06-01,1586.46458333334
2021-07-01,1560.26458333334
2021-08-01,1678.71041666667
2021-09-01,1601.20208333334
2021-10-01,1735.49007936508
2021-11-01,1746.12083333334
2021-12-01,1685.60452898551
2022-01-01,1703.46785714286
2022-02-01,1829.76979166667
2022-03-01,2487.81340579711
2022-04-01,2536.61746031747
2022-05-01,2498.82500000001
2022-06-01,2154.40416666667
2022-07-01,1839.84821428572
2022-08-01,1823.43931159421
2022-09-01,1578.27708333334
