DATE,PWHEAMTUSDM
2020-01-01,178.241777301587
2020-02-01,172.231102807018
2020-03-01,170.874751666667
2020-04-01,179.746517936508
2020-05-01,174.954968833333
2020-06-01,169.722336666667
2020-07-01,170.574121666667
2020-08-01,174.182476984127
2020-09-01,204.137313809524
2020-10-01,203.4263
2020-11-01,210.753936491228
2020-12-01,217.312542857143
2021-01-01,237.944249824561
2021-02-01,240.806388070175
2021-03-01,229.887549275362
2021-04-01,239.936143333333
2021-05-01,278.447005396825
2021-06-01,238.767026666667
2021-07-01,243.628006984127
2021-08-01,274.87603
2021-09-01,269.733507301587
2021-10-01,294.036818253968
2021-11-01,317.437354813333
2021-12-01,324.017900555555
2022-01-01,326.081669833333
2022-02-01,347.5032275
2022-03-01,387.665013697101
2022-04-01,406.026886301667
2022-05-01,444.15656781746
2022-06-01,397.6523199
2022-07-01,321.97512765873
2022-08-01,323.016768768116
2022-09-01,346.322181071428
